Site,Site_ID,gs,Guild,Abundance,Guild Abundance,SamplingMethod,Sampled_area,Sampled_time,Description,Latitude,Longtiude,ID,Date,SamplingMethod,Collector,Family,Genus,Species,Abundance,# diff species,obs 1 time,obs 2 times,Chao1,Chao1
6,site_6,Bombus_mixtus,bumblebee,7,,sweep_net,50,1,,47.678,-121.949,EHB8068,7/9/2016,sweep_net,Bloom,Apidae,Bombus,mixtus,7,,,,,
6,site_6,Bombus_vosnesenskii,bumblebee,5,,sweep_net,50,1,,47.678,-121.949,EHB9161,8/22/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,5,,,,,
6,site_6,Apis_mellifera,honeybee,5,59,bee_bowl,50,9,15 bee bowls,47.678,-121.949,EHB8118,7/9/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,5,,,,,
6,site_6,Apis_mellifera,honeybee,5,,blue_vane,50,9,3 blue vane traps,47.678,-121.949,EHB9180,8/22/2016,blue_vane,Bloom,Apidae,Apis,mellifera,5,,,,,
6,site_6,Apis_mellifera,honeybee,49,,sweep_net,50,1,,47.678,-121.949,EHB8075,7/9/2016,sweep_net,Bloom,Apidae,Apis,mellifera,49,,,,,
6,site_6,Lasioglossum_olympiae,other_wild_bee,1,3,sweep_net,50,1,,47.678,-121.949,EHB8063,7/9/2016,sweep_net,Bloom,Halictidae,Lasioglossum,olympiae,1,,,,,
6,site_6,Lasioglossum_spC10,other_wild_bee,1,,sweep_net,50,1,,47.678,-121.949,EHB8084,7/9/2016,sweep_net,Bloom,Halictidae,Lasioglossum,spC10,1,,,,,
6,site_6,Lasioglossum_spC2,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.678,-121.949,EHB8109,7/9/2016,blue_vane,Bloom,Halictidae,Lasioglossum,spC2,1,,,,,
7,site_7,Bombus_californicus,bumblebee,4,9,sweep_net,50,1,,47.063,-122.926,EHB9106,7/28/2016,sweep_net,Bloom,Apidae,Bombus,californicus,4,6,3,0,6,
7,site_7,Bombus_flavifrons,bumblebee,1,,sweep_net,50,1,,47.063,-122.926,EHB9092,7/28/2016,sweep_net,Bloom,Apidae,Bombus,flavifrons,1,,,,,
7,site_7,Bombus_vosnesenskii,bumblebee,1,,bee_bowl,50,9,15 bee bowls,47.063,-122.926,EHB8426,9/5/2016,bee_bowl,Bloom,Apidae,Bombus,vosnesenskii,1,,,,,
7,site_7,Bombus_vosnesenskii,bumblebee,3,,sweep_net,50,1,,47.063,-122.926,EHB9098,7/28/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,3,,,,,
7,site_7,Apis_mellifera,honeybee,7,30,bee_bowl,50,9,15 bee bowls,47.063,-122.926,EHB8413,9/5/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,7,,,,,
7,site_7,Apis_mellifera,honeybee,2,,blue_vane,50,9,3 blue vane traps,47.063,-122.926,EHB8410,9/5/2016,blue_vane,Bloom,Apidae,Apis,mellifera,2,,,,,
7,site_7,Apis_mellifera,honeybee,21,,sweep_net,50,1,,47.063,-122.926,EHB9104,7/28/2016,sweep_net,Bloom,Apidae,Apis,mellifera,21,,,,,
7,site_7,Lasioglossum_cfmellipes,other_wild_bee,1,2,bee_bowl,50,9,15 bee bowls,47.063,-122.926,EHB8421,9/5/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,cfmellipes,1,,,,,
7,site_7,Lasioglossum_spB8,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.063,-122.926,EHB8418,9/5/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,spB8,1,,,,,
8,site_8,Bombus_californicus,bumblebee,1,5,bee_bowl,50,9,15 bee bowls,48.543,-122.413,EHB9674,9/9/2016,bee_bowl,Bloom,Apidae,Bombus,californicus,1,,,,,
8,site_8,Bombus_californicus,bumblebee,2,,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB9661,9/9/2016,blue_vane,Bloom,Apidae,Bombus,californicus,2,10,7,1,34.5,
8,site_8,Bombus_sitkensis,bumblebee,1,,sweep_net,50,1,,48.543,-122.413,EHB8685,8/1/2016,sweep_net,Bloom,Apidae,Bombus,sitkensis,1,,,,,
8,site_8,Bombus_vosnesenskii,bumblebee,1,,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB8707,8/1/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,1,,,,,
8,site_8,Apis_mellifera,honeybee,19,92,bee_bowl,50,9,15 bee bowls,48.543,-122.413,EHB8716,8/1/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,19,,,,,
8,site_8,Apis_mellifera,honeybee,17,,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB9652,9/9/2016,blue_vane,Bloom,Apidae,Apis,mellifera,17,,,,,
8,site_8,Apis_mellifera,honeybee,56,,sweep_net,50,1,,48.543,-122.413,EHB8670,8/1/2016,sweep_net,Bloom,Apidae,Apis,mellifera,56,,,,,
8,site_8,Agapostemon_texanus,other_wild_bee,1,7,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB9651,9/9/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
8,site_8,Anthidium_manicatum,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,48.543,-122.413,EHB9673,9/9/2016,bee_bowl,Bloom,Megachilidae,Anthidium,manicatum,1,,,,,
8,site_8,Anthidium_manicatum,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB9658,9/9/2016,blue_vane,Bloom,Megachilidae,Anthidium,manicatum,1,,,,,
8,site_8,Lasioglossum_cfmellipes,other_wild_bee,1,,sweep_net,50,1,,48.543,-122.413,EHB9647,9/9/2016,sweep_net,Bloom,Halictidae,Lasioglossum,cfmellipes,1,,,,,
8,site_8,Lasioglossum_spA1,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,48.543,-122.413,EHB9686,9/9/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,spA1,1,,,,,
8,site_8,Lasioglossum_spC2,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,48.543,-122.413,EHB8724,8/1/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,spC2,1,,,,,
8,site_8,Lasioglossum_zonulum,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,48.543,-122.413,EHB8708,8/1/2016,blue_vane,Bloom,Halictidae,Lasioglossum,zonulum,1,,,,,
13,site_13,Bombus_californicus,bumblebee,5,24,sweep_net,50,1,,47.562,-122.303,EHB8279,7/17/2016,sweep_net,Bloom,Apidae,Bombus,californicus,5,8,4,1,16,
13,site_13,Bombus_vosnesenskii,bumblebee,1,,bee_bowl,50,9,15 bee bowls,47.562,-122.303,EHB8316,7/17/2016,bee_bowl,Bloom,Apidae,Bombus,vosnesenskii,1,,,,,
13,site_13,Bombus_vosnesenskii,bumblebee,7,,blue_vane,50,9,3 blue vane traps,47.562,-122.303,EHB8299,7/17/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,7,,,,,
13,site_13,Bombus_vosnesenskii,bumblebee,11,,sweep_net,50,1,,47.562,-122.303,EHB8282,7/17/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,11,,,,,
13,site_13,Apis_mellifera,honeybee,2,19,bee_bowl,50,9,15 bee bowls,47.562,-122.303,EHB9304,8/30/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,
13,site_13,Apis_mellifera,honeybee,1,,blue_vane,50,9,3 blue vane traps,47.562,-122.303,EHB9299,8/30/2016,blue_vane,Bloom,Apidae,Apis,mellifera,1,,,,,
13,site_13,Apis_mellifera,honeybee,16,,sweep_net,50,1,,47.562,-122.303,EHB8277,7/17/2016,sweep_net,Bloom,Apidae,Apis,mellifera,16,,,,,
13,site_13,Agapostemon_texanus,other_wild_bee,2,7,blue_vane,50,9,3 blue vane traps,47.562,-122.303,EHB9302,8/30/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,2,,,,,
13,site_13,Halictus_rubicundus,other_wild_bee,1,,sweep_net,50,1,,47.562,-122.303,EHB8266,7/17/2016,sweep_net,Bloom,Halictidae,Halictus,rubicundus,1,,,,,
13,site_13,Lasioglossum_incompletumgroup,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.562,-122.303,EHB8320,7/17/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,incompletumgroup,1,,,,,
13,site_13,Lasioglossum_spB7,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.562,-122.303,EHB9308,8/30/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,spB7,1,,,,,
13,site_13,Lasioglossum_spC1,other_wild_bee,1,,sweep_net,50,1,,47.562,-122.303,EHB8295,7/17/2016,sweep_net,Bloom,Halictidae,Lasioglossum,spC1,1,,,,,
18,site_18,Bombus_californicus,bumblebee,1,15,sweep_net,50,1,,47.543,-122.287,EHB9394,9/4/2016,sweep_net,Bloom,Apidae,Bombus,californicus,1,8,5,0,8,
18,site_18,Bombus_vosnesenskii,bumblebee,3,,blue_vane,50,9,3 blue vane traps,47.543,-122.287,EHB8979,7/24/2016,blue_vane,"Bloom, Schaeffer",Apidae,Bombus,vosnesenskii,3,,,,,
18,site_18,Bombus_vosnesenskii,bumblebee,11,,sweep_net,50,1,,47.543,-122.287,EHB8959,7/24/2016,sweep_net,"Bloom, Schaeffer",Apidae,Bombus,vosnesenskii,11,,,,,
18,site_18,Apis_mellifera,honeybee,9,9,sweep_net,50,1,,47.543,-122.287,EHB8964,7/24/2016,sweep_net,"Bloom, Schaeffer",Apidae,Apis,mellifera,9,,,,,
18,site_18,Agapostemon_texanus,other_wild_bee,4,8,blue_vane,50,9,3 blue vane traps,47.543,-122.287,EHB9403,9/4/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,4,,,,,
18,site_18,Anthidium_edwardsii,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.543,-122.287,EHB8983,7/24/2016,bee_bowl,"Bloom, Schaeffer",Megachilidae,Anthidium,edwardsii,1,,,,,
18,site_18,Halictus_rubicundus,other_wild_bee,1,,sweep_net,50,1,,47.543,-122.287,EHB8970,7/24/2016,sweep_net,"Bloom, Schaeffer",Halictidae,Halictus,rubicundus,1,,,,,
18,site_18,Megachile_perihirta,other_wild_bee,1,,sweep_net,50,1,,47.543,-122.287,EHB8976,7/24/2016,sweep_net,"Bloom, Schaeffer",Megachilidae,Megachile,perihirta,1,,,,,
18,site_18,Melissodes_microsticta,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.543,-122.287,EHB8980,7/24/2016,blue_vane,"Bloom, Schaeffer",Apidae,Melissodes,microsticta,1,,,,,
23,site_23,Bombus_flavifrons,bumblebee,1,6,blue_vane,50,9,3 blue vane traps,47.671,-121.976,EHB8257,7/27/2016,blue_vane,"Bloom, Harris",Apidae,Bombus,flavifrons,1,4,1,1,4.5,
23,site_23,Bombus_flavifrons,bumblebee,1,,sweep_net,50,1,,47.671,-121.976,EHB9815,9/14/2016,sweep_net,Bloom,Apidae,Bombus,flavifrons,1,,,,,
23,site_23,Bombus_vosnesenskii,bumblebee,1,,bee_bowl,50,9,15 bee bowls,47.671,-121.976,EHB8260,7/27/2016,bee_bowl,"Bloom, Harris",Apidae,Bombus,vosnesenskii,1,,,,,
23,site_23,Bombus_vosnesenskii,bumblebee,1,,blue_vane,50,9,3 blue vane traps,47.671,-121.976,EHB9836,9/14/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,1,,,,,
23,site_23,Bombus_vosnesenskii,bumblebee,2,,sweep_net,50,1,,47.671,-121.976,EHB8249,7/27/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,vosnesenskii,2,,,,,
23,site_23,Apis_mellifera,honeybee,2,53,bee_bowl,50,9,15 bee bowls,47.671,-121.976,EHB9840,9/14/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,
23,site_23,Apis_mellifera,honeybee,3,,blue_vane,50,9,3 blue vane traps,47.671,-121.976,EHB9835,9/14/2016,blue_vane,Bloom,Apidae,Apis,mellifera,3,,,,,
23,site_23,Apis_mellifera,honeybee,48,,sweep_net,50,1,,47.671,-121.976,EHB8240,7/27/2016,sweep_net,"Bloom, Harris",Apidae,Apis,mellifera,48,,,,,
23,site_23,Lasioglossum_olympiae,other_wild_bee,1,1,sweep_net,50,1,,47.671,-121.976,EHB8256,7/27/2016,sweep_net,"Bloom, Harris",Halictidae,Lasioglossum,olympiae,1,,,,,
24,site_24,Bombus_californicus,bumblebee,1,10,blue_vane,50,9,3 blue vane traps,47.522,-122.259,EHB8776,8/4/2016,blue_vane,Bloom,Apidae,Bombus,californicus,1,5,1,1,5.5,
24,site_24,Bombus_californicus,bumblebee,1,,sweep_net,50,1,,47.522,-122.259,EHB8734,8/4/2016,sweep_net,Bloom,Apidae,Bombus,californicus,1,,,,,
24,site_24,Bombus_vosnesenskii,bumblebee,7,,blue_vane,50,9,3 blue vane traps,47.522,-122.259,EHB9471,9/3/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,7,,,,,
24,site_24,Bombus_vosnesenskii,bumblebee,1,,sweep_net,50,1,,47.522,-122.259,EHB8747,8/4/2016,sweep_net,Bloom,Apidae,Bombus,vosnesenskii,1,,,,,
24,site_24,Apis_mellifera,honeybee,2,37,bee_bowl,50,9,15 bee bowls,47.522,-122.259,EHB8794,8/4/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,
24,site_24,Apis_mellifera,honeybee,1,,blue_vane,50,9,3 blue vane traps,47.522,-122.259,EHB9473,9/3/2016,blue_vane,Bloom,Apidae,Apis,mellifera,1,,,,,
24,site_24,Apis_mellifera,honeybee,34,,sweep_net,50,1,,47.522,-122.259,EHB8753,8/4/2016,sweep_net,Bloom,Apidae,Apis,mellifera,34,,,,,
24,site_24,Agapostemon_texanus,other_wild_bee,1,4,bee_bowl,50,9,15 bee bowls,47.522,-122.259,EHB9477,9/3/2016,bee_bowl,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
24,site_24,Agapostemon_texanus,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.522,-122.259,EHB8775,8/4/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
24,site_24,Agapostemon_texanus,other_wild_bee,1,,sweep_net,50,1,,47.522,-122.259,EHB8745,8/4/2016,sweep_net,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
24,site_24,Lasioglossum_cfovaliceps,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.522,-122.259,EHB8778,8/4/2016,blue_vane,Bloom,Halictidae,Lasioglossum,cfovaliceps,1,,,,,
25,site_25,Bombus_vosnesenskii,bumblebee,20,33,blue_vane,50,9,3 blue vane traps,46.801,-123.159,EHB9709,8/23/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,20,,,,,
25,site_25,Bombus_vosnesenskii,bumblebee,13,,sweep_net,50,1,,46.801,-123.159,EHB8492,7/14/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,vosnesenskii,13,,,,,
25,site_25,Apis_mellifera,honeybee,1,67,bee_bowl,50,9,15 bee bowls,46.801,-123.159,EHB9743,8/23/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,1,,,,,
25,site_25,Apis_mellifera,honeybee,4,,blue_vane,50,9,3 blue vane traps,46.801,-123.159,EHB9710,8/23/2016,blue_vane,Bloom,Apidae,Apis,mellifera,4,,,,,
25,site_25,Apis_mellifera,honeybee,62,,sweep_net,50,1,,46.801,-123.159,EHB8501,7/14/2016,sweep_net,"Bloom, Harris",Apidae,Apis,mellifera,62,,,,,
25,site_25,Agapostemon_texanus,other_wild_bee,2,8,bee_bowl,50,9,15 bee bowls,46.801,-123.159,EHB9741,8/23/2016,bee_bowl,Bloom,Halictidae,Agapostemon,texanus,2,,,,,
25,site_25,Agapostemon_virescens,other_wild_bee,3,,blue_vane,50,9,3 blue vane traps,46.801,-123.159,EHB8539,7/14/2016,blue_vane,"Bloom, Harris",Halictidae,Agapostemon,virescens,3,,,,,
25,site_25,Halictus_confusus,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,46.801,-123.159,EHB8565,7/14/2016,bee_bowl,"Bloom, Harris",Halictidae,Halictus,confusus,1,,,,,
25,site_25,Lasioglossum_avalonense,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,46.801,-123.159,EHB8552,7/14/2016,bee_bowl,"Bloom, Harris",Halictidae,Lasioglossum,avalonense,1,7,3,1,11.5,
25,site_25,Lasioglossum_incompletumgroup,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,46.801,-123.159,EHB8556,7/14/2016,bee_bowl,"Bloom, Harris",Halictidae,Lasioglossum,incompletumgroup,1,,,,,
26,site_26,Bombus_californicus,bumblebee,1,2,sweep_net,50,1,,48.435,-122.394,EHB9003,7/13/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,californicus,1,8,6,0,8,
26,site_26,Bombus_vosnesenskii,bumblebee,1,,sweep_net,50,1,,48.435,-122.394,EHB8999,7/13/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,vosnesenskii,1,,,,,
26,site_26,Apis_mellifera,honeybee,2,37,bee_bowl,50,9,15 bee bowls,48.435,-122.394,EHB9260,9/6/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,
26,site_26,Apis_mellifera,honeybee,6,,blue_vane,50,9,3 blue vane traps,48.435,-122.394,EHB9016,7/13/2016,blue_vane,"Bloom, Harris",Apidae,Apis,mellifera,6,,,,,
26,site_26,Apis_mellifera,honeybee,29,,sweep_net,50,1,,48.435,-122.394,EHB8990,7/13/2016,sweep_net,"Bloom, Harris",Apidae,Apis,mellifera,29,,,,,
26,site_26,Agapostemon_texanus,other_wild_bee,1,7,bee_bowl,50,9,15 bee bowls,48.435,-122.394,EHB9257,9/6/2016,bee_bowl,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
26,site_26,Agapostemon_texanus,other_wild_bee,2,,blue_vane,50,9,3 blue vane traps,48.435,-122.394,EHB9020,7/13/2016,blue_vane,"Bloom, Harris",Halictidae,Agapostemon,texanus,2,,,,,
26,site_26,Agapostemon_virescens,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,48.435,-122.394,EHB9015,7/13/2016,blue_vane,"Bloom, Harris",Halictidae,Agapostemon,virescens,1,,,,,
26,site_26,Lasioglossum_cfmellipes,other_wild_bee,1,,sweep_net,50,1,,48.435,-122.394,EHB9237,9/6/2016,sweep_net,Bloom,Halictidae,Lasioglossum,cfmellipes,1,,,,,
26,site_26,Lasioglossum_D4,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,48.435,-122.394,EHB9253,9/6/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,D4,1,,,,,
26,site_26,Lasioglossum_zonulum,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,48.435,-122.394,EHB9258,9/6/2016,bee_bowl,Bloom,Halictidae,Lasioglossum,zonulum,1,,,,,
29,site_29,Bombus_mixtus,bumblebee,1,5,sweep_net,50,1,,47.611,-121.937,EHB8028,7/26/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,mixtus,1,,,,,
29,site_29,Bombus_vosnesenskii,bumblebee,3,,blue_vane,50,9,3 blue vane traps,47.611,-121.937,EHB9527,8/25/2016,blue_vane,Bloom,Apidae,Bombus,vosnesenskii,3,,,,,
29,site_29,Bombus_vosnesenskii,bumblebee,1,,sweep_net,50,1,,47.611,-121.937,EHB8029,7/26/2016,sweep_net,"Bloom, Harris",Apidae,Bombus,vosnesenskii,1,,,,,
29,site_29,Apis_mellifera,honeybee,2,66,bee_bowl,50,9,15 bee bowls,47.611,-121.937,EHB9542,8/25/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,2,,,,,
29,site_29,Apis_mellifera,honeybee,7,,blue_vane,50,9,3 blue vane traps,47.611,-121.937,EHB8038,7/26/2016,blue_vane,"Bloom, Harris",Apidae,Apis,mellifera,7,5,3,0,5,
29,site_29,Apis_mellifera,honeybee,57,,sweep_net,50,1,,47.611,-121.937,EHB8019,7/26/2016,sweep_net,"Bloom, Harris",Apidae,Apis,mellifera,57,,,,,
29,site_29,Agapostemon_texanus,other_wild_bee,1,2,blue_vane,50,9,3 blue vane traps,47.611,-121.937,EHB9535,8/25/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
29,site_29,Lasioglossum_zonulum,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.611,-121.937,EHB8037,7/26/2016,blue_vane,"Bloom, Harris",Halictidae,Lasioglossum,zonulum,1,,,,,
30,site_30,Bombus_californicus,bumblebee,1,2,blue_vane,50,9,3 blue vane traps,47.583,-121.916,EHB8461,7/19/2016,blue_vane,Bloom,Apidae,Bombus,californicus,1,6,2,0,6,
30,site_30,Bombus_flavifrons,bumblebee,1,,bee_bowl,50,9,15 bee bowls,47.583,-121.916,EHB8468,7/19/2016,bee_bowl,Bloom,Apidae,Bombus,flavifrons,1,,,,,
30,site_30,Apis_mellifera,honeybee,7,41,bee_bowl,50,9,15 bee bowls,47.583,-121.916,EHB9363,9/22/2016,bee_bowl,Bloom,Apidae,Apis,mellifera,7,,,,,
30,site_30,Apis_mellifera,honeybee,7,,blue_vane,50,9,3 blue vane traps,47.583,-121.916,EHB9347,9/22/2016,blue_vane,Bloom,Apidae,Apis,mellifera,7,,,,,
30,site_30,Apis_mellifera,honeybee,27,,sweep_net,50,1,,47.583,-121.916,EHB8433,7/19/2016,sweep_net,Bloom,Apidae,Apis,mellifera,27,,,,,
30,site_30,Agapostemon_texanus,other_wild_bee,1,16,bee_bowl,50,9,15 bee bowls,47.583,-121.916,EHB9357,9/22/2016,bee_bowl,Bloom,Halictidae,Agapostemon,texanus,1,,,,,
30,site_30,Agapostemon_texanus,other_wild_bee,3,,blue_vane,50,9,3 blue vane traps,47.583,-121.916,EHB9346,9/22/2016,blue_vane,Bloom,Halictidae,Agapostemon,texanus,3,,,,,
30,site_30,Agapostemon_virescens,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.583,-121.916,EHB9370,9/22/2016,bee_bowl,Bloom,Halictidae,Agapostemon,virescens,1,,,,,
30,site_30,Agapostemon_virescens,other_wild_bee,6,,blue_vane,50,9,3 blue vane traps,47.583,-121.916,EHB9342,9/22/2016,blue_vane,Bloom,Halictidae,Agapostemon,virescens,6,,,,,
30,site_30,Agapostemon_virescens,other_wild_bee,2,,sweep_net,50,1,,47.583,-121.916,EHB9321,9/22/2016,sweep_net,Bloom,Halictidae,Agapostemon,virescens,2,,,,,
30,site_30,Halictus_rubicundus,other_wild_bee,1,,bee_bowl,50,9,15 bee bowls,47.583,-121.916,EHB8465,7/19/2016,bee_bowl,Bloom,Halictidae,Halictus,rubicundus,1,,,,,
30,site_30,Halictus_rubicundus,other_wild_bee,1,,blue_vane,50,9,3 blue vane traps,47.583,-121.916,EHB8456,7/19/2016,blue_vane,Bloom,Halictidae,Halictus,rubicundus,1,,,,,
